SalesOrderNumber_CY,OrderDate,SalesPerson,SalesRegion,SalesProvince,SalesCity,SalesPostalCode,CustomerCode,CustomerName,CustomerRegion,CustomerProvince,CustomerCity,CustomerPostalCode,ProductCategory,ProductSubCategory,ProductName,ProductCode,UnitCost_CY,UnitPrice_CY,UnitPriceDiscount_CY,OrderQty_CY,UnitFreightCost_CY,ActualSales_CY,COGS_CY,FrontMargin_CY,GrossMargin_CY,IsPromo_CY,SalesOrderNumber_LY,UnitCost_LY,UnitPrice_LY,UnitPriceDiscount_LY,OrderQty_LY,UnitFreightCost_LY,ActualSales_LY,COGS_LY,FrontMargin_LY,GrossMargin_LY,IsPromo_LY
SO46604,2006-07-01,Tsvi Reiter,United States,Tennessee,Memphis,38103,AW00029825,Better Bike Shop,United States,Georgia,Austell,30106,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",LJ-0192-M,38.4923,49.99,0.0,2.0,30.14,99.98,76.9846,22.995400000000004,-37.2846,0.0,SO43659,38.4923,49.99,0.0,3.0,51.3415,149.97,115.4769,34.4931,-119.53140000000002,0.0
SO46604,2006-07-01,Tsvi Reiter,United States,Tennessee,Memphis,38103,AW00029825,Better Bike Shop,United States,Georgia,Austell,30106,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,38.4923,49.99,0.0,1.0,30.14,49.99,38.4923,11.497700000000002,-18.6423,0.0,SO43659,38.4923,49.99,0.0,1.0,51.3415,49.99,38.4923,11.497700000000002,-39.8438,0.0
SO46604,2006-07-01,Tsvi Reiter,United States,Tennessee,Memphis,38103,AW00029825,Better Bike Shop,United States,Georgia,Austell,30106,Clothing,Caps,AWC Logo Cap,CA-1098,6.9223,8.99,0.0,9.0,30.14,80.91,62.3007,18.609299999999998,-252.6507,0.0,SO43659,6.9223,8.99,0.0,2.0,51.3415,17.98,13.8446,4.135400000000001,-98.5476,0.0
SO46604,2006-07-01,Tsvi Reiter,United States,Tennessee,Memphis,38103,AW00029825,Better Bike Shop,United States,Georgia,Austell,30106,Accessories,Helmets,"Sport-100 Helmet, Blue",HL-U509-B,13.0863,34.99,0.1,3.0,30.14,94.47300000000001,39.2589,55.214100000000016,-35.205899999999986,1.0,SO43659,13.0863,34.99,0.0,4.0,51.3415,139.96,52.3452,87.6148,-117.75120000000001,0.0
SO46611,2006-07-01,David Campbell,United States,Washington,Bellevue,98004,AW00029580,Latest Sports Equipment,United States,Washington,Seattle,98104,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",LJ-0192-L,38.4923,49.99,0.0,9.0,59.0375,449.91,346.4307,103.47930000000002,-427.85819999999995,0.0,SO43665,38.4923,49.99,0.0,2.0,42.9982,99.98,76.9846,22.995400000000004,-63.00099999999999,0.0
SO46611,2006-07-01,David Campbell,United States,Washington,Bellevue,98004,AW00029580,Latest Sports Equipment,United States,Washington,Seattle,98104,Accessories,Helmets,"Sport-100 Helmet, Blue",HL-U509-B,13.0863,34.99,0.1,5.0,59.0375,157.455,65.4315,92.02350000000001,-203.164,1.0,SO43665,13.0863,34.99,0.0,2.0,42.9982,69.98,26.1726,43.8074,-42.18899999999999,0.0
SO46611,2006-07-01,David Campbell,United States,Washington,Bellevue,98004,AW00029580,Latest Sports Equipment,United States,Washington,Seattle,98104,Accessories,Helmets,"Sport-100 Helmet, Red",HL-U509-R,13.0863,34.99,0.1,5.0,59.0375,157.455,65.4315,92.02350000000001,-203.164,1.0,SO43665,13.0863,34.99,0.0,1.0,42.9982,34.99,13.0863,21.9037,-21.094499999999996,0.0
SO46611,2006-07-01,David Campbell,United States,Washington,Bellevue,98004,AW00029580,Latest Sports Equipment,United States,Washington,Seattle,98104,Clothing,Caps,AWC Logo Cap,CA-1098,6.9223,8.99,0.0,3.0,59.0375,26.97,20.7669,6.203099999999999,-170.9094,0.0,SO43665,6.9223,8.99,0.0,2.0,42.9982,17.98,13.8446,4.135400000000001,-81.86099999999999,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Accessories,Helmets,"Sport-100 Helmet, Blue",HL-U509-B,13.0863,34.99,0.1,2.0,30.2868,62.982000000000006,26.1726,36.80940000000001,-23.764199999999988,1.0,SO43673,13.0863,34.99,0.0,1.0,10.1693,34.99,13.0863,21.9037,11.7344,0.0
SO46620,2006-07-01,Michael Blythe,United States,Michigan,Detroit,48226,AW00029844,Seventh Bike Store,United States,New Hampshire,Plaistow,3865,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",LJ-0192-L,38.4923,49.99,0.0,4.0,30.2868,199.96,153.9692,45.99080000000001,-75.15639999999999,0.0,SO43673,38.4923,49.99,0.0,3.0,10.1693,149.97,115.4769,34.4931,3.985199999999999,0.0
